split_seed,task,acquisition_date,severity,split,model,aggregation,source_recording_count,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,worst_class_recall,train_recordings,validation_recordings,test_recordings
42,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
42,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
42,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
42,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
43,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
43,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
43,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
43,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
44,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
44,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
44,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
44,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
45,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
45,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
45,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
45,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
46,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
46,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
46,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
46,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
47,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
47,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
47,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
47,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
48,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
48,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
48,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
48,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
49,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
49,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
49,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
49,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
50,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
50,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
50,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
50,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
51,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
51,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,random_forest,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
51,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,mean_probability,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
51,same_date_250707_high_ball_vs_outer,250707,H,same_date_250707_high_ball_vs_outer,xgboost,majority_vote,3,1.0,1.0,1.0,1.0,1.0,1.0,16,4,3
42,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
42,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
42,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
42,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
43,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
43,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
43,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
43,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
44,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
44,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
44,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
44,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
45,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
45,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
45,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
45,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
46,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
46,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
46,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
46,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
47,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
47,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
47,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
47,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
48,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
48,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
48,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
48,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
49,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
49,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
49,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
49,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
50,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
50,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
50,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
50,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,xgboost,majority_vote,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
51,same_date_250707_low_ball_vs_inner,250707,L,same_date_250707_low_ball_vs_inner,random_forest,mean_probability,4,1.0,1.0,1.0,1.0,1.0,1.0,16,4,4
