task,acquisition_date,severity,model,split_seed,labels,test_recordings,confusion_matrix
same_date_250707_high_ball_vs_outer,250707,H,random_forest,42,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,42,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,43,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,43,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,44,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,44,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,45,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,45,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,46,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,46,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,47,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,47,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,48,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,48,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,49,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,49,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,50,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,50,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,random_forest,51,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_high_ball_vs_outer,250707,H,xgboost,51,bearing_ball|bearing_outer,3,"2,0;0,1"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,42,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,42,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,43,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,43,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,44,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,44,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,45,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,45,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,46,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,46,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,47,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,47,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,48,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,48,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,49,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,49,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,50,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,50,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,random_forest,51,bearing_ball|bearing_inner,4,"2,0;0,2"
same_date_250707_low_ball_vs_inner,250707,L,xgboost,51,bearing_ball|bearing_inner,4,"2,0;0,2"
